Type,Word Pairs
Four-Letter,"have, avhe"
Four-Letter,"will, llwi"
Four-Letter,"just, ustj"
Four-Letter,"like, ekli"
Four-Letter,"more, oemr"
Four-Letter,"time, mtei"
Four-Letter,"some, smoe"
Four-Letter,"good, odgo"
Four-Letter,"only, ynlo"
Four-Letter,"know, nwok"
Four-Letter,"over, orev"
Four-Letter,"make, meka"
Four-Letter,"then, hten"
Four-Letter,"back, cbka"
Four-Letter,"want, antw"
Four-Letter,"well, lelw"
Four-Letter,"much, hcmu"
Four-Letter,"most, tsmo"
Four-Letter,"very, yerv"
Four-Letter,"even, vene"
Four-Letter,"here, rehe"
Four-Letter,"need, ndee"
Four-Letter,"work, wkro"
Four-Letter,"year, yera"
Four-Letter,"made, emad"
Four-Letter,"take, aekt"
Four-Letter,"many, mnay"
Four-Letter,"life, efil"
Four-Letter,"down, nwdo"
Four-Letter,"last, tlas"
Four-Letter,"best, tsbe"
Four-Letter,"such, uchs"
Four-Letter,"love, ovel"
Four-Letter,"long, ognl"
Four-Letter,"home, oemh"
Four-Letter,"look, loko"
Four-Letter,"same, mesa"
Four-Letter,"used, dues"
Four-Letter,"both, tobh"
Four-Letter,"part, ptar"
Four-Letter,"come, meoc"
Four-Letter,"find, dnif"
Four-Letter,"high, ighh"
Four-Letter,"help, ehlp"
Four-Letter,"game, egma"
Five-Letter,"about, about"
Five-Letter,"there, htere"
Five-Letter,"other, tohre"
Five-Letter,"first, firts"
Five-Letter,"after, ftaer"
Five-Letter,"think, kihtn"
Five-Letter,"right, gitrh"
Five-Letter,"being, bnieg"
Five-Letter,"going, ongig"
Five-Letter,"still, ilstl"
Five-Letter,"never, reevn"
Five-Letter,"world, drlow"
Five-Letter,"great, tegar"
Five-Letter,"while, hlewi"
Five-Letter,"every, veery"
Five-Letter,"three, rteeh"
Five-Letter,"state, etsat"
Five-Letter,"under, redun"
Five-Letter,"thing, tingh"
Five-Letter,"house, ouhes"
Five-Letter,"place, paecl"
Five-Letter,"again, anaig"
Five-Letter,"found, ndfuo"
Five-Letter,"might, hgitm"
Five-Letter,"money, eoymn"
Five-Letter,"night, nhgti"
Five-Letter,"group, pogru"
Five-Letter,"start, sartt"
Five-Letter,"times, iesmt"
Five-Letter,"today, daoyt"
Five-Letter,"point, niopt"
Five-Letter,"music, muisc"
Five-Letter,"power, erpwo"
Five-Letter,"water, awrte"
Five-Letter,"white, hitew"
Five-Letter,"small, almsl"
Five-Letter,"based, easbd"
Five-Letter,"later, relta"
Five-Letter,"order, eorrd"
Five-Letter,"party, ptayr"
Five-Letter,"thank, ahktn"
Five-Letter,"black, clakb"
Five-Letter,"whole, wleoh"
Five-Letter,"story, rsoyt"
Five-Letter,"least, alste"
Six-Letter,"people, peoelp"
Six-Letter,"around, dnauor"
Six-Letter,"better, etbret"
Six-Letter,"always, ylswaa"
Six-Letter,"little, litlte"
Six-Letter,"things, nhgtsi"
Six-Letter,"school, lhsooc"
Six-Letter,"please, eapesl"
Six-Letter,"family, imylaf"
Six-Letter,"second, enodsc"
Six-Letter,"number, umbrne"
Six-Letter,"public, uclpib"
Six-Letter,"system, estmsy"
Six-Letter,"person, pronse"
Six-Letter,"enough, enohgu"
Six-Letter,"change, cnaehg"
Six-Letter,"making, mgnkia"
Six-Letter,"though, hhutgo"
Six-Letter,"season, saeosn"
Six-Letter,"trying, nyrgit"
Six-Letter,"united, neutid"
Six-Letter,"course, uscero"
Six-Letter,"health, ltahhe"
Six-Letter,"thanks, tnhksa"
Six-Letter,"social, cosial"
Six-Letter,"single, liegns"
Six-Letter,"office, ocfief"
Six-Letter,"become, ceobme"
Six-Letter,"pretty, yetptr"
Six-Letter,"matter, rtemta"
Six-Letter,"saying, nsgayi"
Six-Letter,"friend, rdfeni"
Six-Letter,"wanted, wdetan"
Six-Letter,"series, esesri"
Six-Letter,"future, uuetfr"
Six-Letter,"either, eitrhe"
Six-Letter,"police, iopcel"
Six-Letter,"rather, rehrat"
Six-Letter,"reason, aoensr"
Six-Letter,"report, rteorp"
Six-Letter,"living, givnli"
Six-Letter,"behind, hinedb"
Six-Letter,"market, mkraet"
Six-Letter,"former, formre"
Six-Letter,"street, tesret"
